case,fgc,med,rec,rem,work
AKS,506,12,2,506,621911
AKS,508,12,2,508,622935
AKS,505,12,2,505,627292
AKS,510,12,2,510,649265
AKS,526,12,2,526,611382
AKS,518,12,2,518,629582
AKS,504,12,2,504,631621
AKS,535,12,2,535,626860
AKS,570,12,2,570,640165
AKS,519,12,2,519,624726
AKS,557,12,2,557,624838
AKS,500,12,2,500,620660
AKS,515,8,2,515,615333
AKS,524,12,2,524,637869
AKS,512,12,2,512,618852
AKS,510,12,2,510,622793
AKS,504,12,2,504,620240
AKS,550,12,2,550,613359
AKS,514,12,2,514,635288
AKS,581,12,2,581,636913
AKS,488,12,2,488,625578
AKS,505,12,2,505,629313
AKS,525,12,2,525,619355
AKS,520,12,2,520,636134
AKS,504,8,2,504,622132
AKS,519,8,2,519,631120
AKS,519,12,2,519,619491
AKS,503,12,2,503,611362
AKS,496,12,2,496,615372
AKS,501,12,2,501,615349
AKS,499,12,2,499,626116
AKS,560,12,2,560,630632
AKS,508,12,2,508,617262
AKS,521,12,2,521,629631
AKS,536,12,2,536,631256
AKS,547,12,2,547,641104
AKS,511,12,2,511,626946
AKS,509,12,2,509,629528
AKS,501,12,2,501,609375
AKS,510,12,2,510,627233
AKS,512,12,2,512,624172
AKS,509,12,2,509,636924
AKS,498,12,2,498,630030
AKS,519,12,2,519,637316
AKS,517,12,2,517,631494
AKS,520,12,2,520,641996
AKS,497,12,2,497,627232
AKS,508,12,2,508,611472
AKS,518,12,2,518,621200
AKS,502,12,2,502,621553
AKS,500,12,2,500,615445
AKS,508,12,2,508,618914
AKS,516,8,2,516,626612
AKS,511,8,2,511,629024
AKS,504,12,2,504,628965
AKS,529,8,2,529,639792
AKS,499,12,2,499,626147
AKS,493,12,2,493,624730
AKS,502,8,2,502,610065
AKS,496,12,2,496,635681
AKS,508,12,2,508,632301
AKS,495,12,2,495,626178
AKS,546,12,2,546,638117
AKS,506,12,2,506,610880
AKS,499,12,2,499,622128
AKS,499,12,2,499,617365
AKS,515,12,2,515,638248
AKS,503,8,2,503,626968
AKS,498,12,2,498,615957
AKS,506,12,2,506,619105
AKS,525,8,2,525,624927
AKS,525,8,2,525,628829
AKS,508,12,2,508,632043
AKS,547,8,2,547,624338
AKS,502,12,2,502,617155
AKS,509,12,2,509,633238
AKS,507,8,2,507,622979
AKS,524,12,2,524,632427
AKS,512,12,2,512,626784
AKS,512,12,2,512,624280
AKS,496,12,2,496,609523
AKS,497,12,2,497,645803
AKS,515,12,2,515,628186
AKS,515,8,2,515,621530
AKS,516,12,2,516,626275
AKS,535,8,2,535,636268
AKS,521,12,2,521,632701
AKS,507,12,2,507,631941
AKS,497,12,2,497,615183
AKS,499,12,2,499,619192
AKS,549,12,2,549,635009
AKS,494,12,2,494,612074
AKS,529,12,2,529,618962
AKS,510,12,2,510,641781
AKS,505,12,2,505,634983
AKS,532,12,2,532,629266
AKS,508,8,2,508,621785
AKS,514,12,2,514,618596
AKS,489,12,2,489,602016
AKS,520,8,2,520,625071
AKS,497,12,2,497,617731
AKS,499,12,2,499,631991
AKS,506,12,2,506,628896
AKS,499,12,2,499,625063
AKS,522,12,2,522,648749
AKS,516,12,2,516,619800
AKS,522,12,2,522,632829
AKS,529,12,2,529,627467
AKS,529,12,2,529,620023
AKS,502,12,2,502,621807
AKS,541,12,2,541,624212
AKS,500,8,2,500,611656
AKS,504,12,2,504,618660
AKS,514,8,2,514,641270
AKS,509,12,2,509,628579
AKS,513,12,2,513,628956
AKS,505,4,2,505,616731
AKS,510,12,2,510,630255
AKS,500,12,2,500,611363
