case,fgc,med,rec,rem,work
AKS,453,6,2,453,190150
AKS,454,4,2,454,193924
AKS,447,4,2,447,193853
AKS,441,6,2,441,191998
AKS,451,6,2,451,194257
AKS,443,4,2,443,190006
AKS,453,6,2,453,192813
AKS,447,6,2,447,195992
AKS,443,6,2,443,194682
AKS,446,6,2,446,191318
AKS,436,6,2,436,196273
AKS,447,6,2,447,192248
AKS,459,6,2,459,191746
AKS,460,6,2,460,196278
AKS,477,6,2,477,191734
AKS,441,6,2,441,192237
AKS,447,6,2,447,191792
AKS,446,6,2,446,192191
AKS,445,6,2,445,187277
AKS,447,6,2,447,190663
AKS,455,6,2,455,194678
AKS,451,6,2,451,193244
AKS,446,6,2,446,190684
AKS,459,6,2,459,190240
AKS,443,6,2,443,190257
AKS,451,6,2,451,187729
AKS,453,6,2,453,196145
AKS,447,6,2,447,193278
AKS,446,6,2,446,195342
AKS,453,6,2,453,193989
AKS,449,4,2,449,193816
AKS,443,4,1,443,165896
AKS,444,6,2,444,190950
AKS,462,4,2,462,194800
AKS,438,6,2,438,191325
AKS,447,6,2,447,196843
AKS,453,6,2,453,194280
AKS,441,6,2,441,196399
AKS,447,6,2,447,189341
AKS,454,4,2,454,188628
AKS,446,6,2,446,191124
AKS,439,4,1,439,162330
AKS,449,4,1,449,164578
AKS,438,6,2,438,192585
AKS,462,6,2,462,190576
AKS,459,6,2,459,188325
AKS,440,6,2,440,190383
AKS,453,4,2,453,190089
AKS,457,6,2,457,191239
AKS,442,6,2,442,193615
AKS,444,6,2,444,191973
AKS,438,4,2,438,198824
AKS,445,6,2,445,193239
AKS,433,4,1,433,160948
AKS,444,6,2,444,187826
AKS,439,6,2,439,189292
AKS,452,6,2,452,193079
AKS,450,6,2,450,187928
AKS,455,4,2,455,197538
AKS,452,6,2,452,189118
AKS,444,6,2,444,191312
AKS,443,4,1,443,163221
AKS,455,6,2,455,191571
AKS,447,6,2,447,192648
AKS,441,6,2,441,192076
AKS,432,6,2,432,191290
AKS,450,6,2,450,188411
AKS,446,6,2,446,194591
AKS,445,6,2,445,199727
AKS,446,6,2,446,190662
AKS,444,4,2,444,190700
