case,fgc,med,rec,rem,work
AKS,434,6,2,434,192124
AKS,437,4,2,437,188321
AKS,447,6,2,447,189366
AKS,453,4,2,453,189564
AKS,440,6,2,440,191567
AKS,439,6,2,439,194080
AKS,440,6,2,440,193606
AKS,446,6,2,446,193285
AKS,462,6,2,462,188906
AKS,437,6,2,437,193792
AKS,454,6,2,454,192086
AKS,444,6,2,444,193976
AKS,442,6,2,442,194356
AKS,446,4,2,446,193581
AKS,459,6,2,459,188981
AKS,451,6,2,451,191887
AKS,446,6,2,446,189369
AKS,444,6,2,444,191172
AKS,449,6,2,449,196946
AKS,446,6,2,446,197419
AKS,466,6,2,466,195289
AKS,440,6,2,440,195703
AKS,480,6,2,480,198628
AKS,454,6,2,454,190717
AKS,456,6,2,456,192577
AKS,442,4,2,442,190663
AKS,447,6,2,447,193944
AKS,437,6,2,437,196225
AKS,450,6,2,450,195346
AKS,450,6,2,450,194732
AKS,457,6,2,457,193717
AKS,451,4,2,451,194274
AKS,450,6,2,450,190973
AKS,448,4,2,448,188540
AKS,461,6,2,461,193851
AKS,450,6,2,450,200399
AKS,455,6,2,455,193932
AKS,454,6,2,454,195579
AKS,442,6,2,442,191200
AKS,436,4,2,436,194466
AKS,453,6,2,453,186883
AKS,448,6,2,448,188979
AKS,452,6,2,452,192466
AKS,446,6,2,446,190603
AKS,462,6,2,462,191856
AKS,441,6,2,441,197308
AKS,436,6,2,436,189448
AKS,449,6,2,449,192606
AKS,434,6,2,434,192750
AKS,456,4,2,456,190259
AKS,446,6,2,446,196667
AKS,443,6,2,443,192824
AKS,444,4,2,444,194072
AKS,460,6,2,460,188464
AKS,451,4,1,451,165017
AKS,442,6,2,442,192692
AKS,442,6,2,442,187310
AKS,441,6,2,441,193268
AKS,438,6,2,438,190989
AKS,445,4,2,445,192026
AKS,439,6,2,439,195140
AKS,442,4,2,442,193503
AKS,449,4,1,449,164983
AKS,439,6,2,439,186495
AKS,447,4,2,447,193152
AKS,447,6,2,447,189309
AKS,453,6,2,453,191677
AKS,452,6,2,452,192455
AKS,443,6,2,443,189669
AKS,453,6,2,453,192552
AKS,441,4,2,441,186085
AKS,441,4,1,441,163032
AKS,448,4,2,448,191580
AKS,447,4,2,447,188968
AKS,445,6,2,445,190826
AKS,446,6,2,446,189675
AKS,439,4,2,439,197443
AKS,443,6,2,443,189306
AKS,441,6,2,441,192339
AKS,453,6,2,453,191379
AKS,446,6,2,446,188491
AKS,453,6,2,453,191343
AKS,450,6,2,450,189997
AKS,464,6,2,464,197642
AKS,447,6,2,447,190099
AKS,434,6,2,434,193786
AKS,444,6,2,444,189966
AKS,452,6,2,452,196260
AKS,455,4,2,455,193049
AKS,452,6,2,452,195837
AKS,438,6,2,438,194602
AKS,447,6,2,447,189655
AKS,458,6,2,458,193362
AKS,439,6,2,439,189131
AKS,443,6,2,443,192542
AKS,453,4,2,453,190894
AKS,442,6,2,442,194712
AKS,446,6,2,446,189075
AKS,436,4,2,436,195642
AKS,443,6,2,443,191460
AKS,455,4,2,455,196923
AKS,451,6,2,451,187535
