MinC,case,fgc,med,rat,rec,rem,work
1,1,688,6,0.3995101966079971,2,688,334454
1,1,680,6,0.3991973938187117,2,680,334406
1,1,694,4,0.4159285283773165,2,694,340477
1,1,675,4,0.40002899147803134,2,675,342027
1,1,670,6,0.4099089820176543,2,670,342342
1,1,685,6,0.3937881943649722,2,685,335782
1,1,681,6,0.4113051505649524,2,681,345124
1,1,672,6,0.40989372334500623,2,672,337560
1,1,680,6,0.41861405476337615,2,680,348037
1,1,686,6,0.4095504032104248,2,686,342874
1,1,682,4,0.3972519130560833,2,682,340294
1,1,678,6,0.4113051505649524,2,678,342693
1,1,695,6,0.3934906502483349,2,695,335757
1,1,677,6,0.4179426731668612,2,677,342292
1,1,675,6,0.3907135718263868,2,675,338279
1,1,670,6,0.4103972595423924,2,670,339684
1,1,670,6,0.4238401501453389,2,670,345250
1,1,681,4,0.40891716829553,2,681,338172
1,1,701,6,0.4226423443424657,2,701,346383
1,1,694,6,0.3966186781411885,2,694,334753
1,1,691,6,0.4018371441868272,2,691,332389
1,1,684,4,0.41030570750650397,2,684,338624
1,1,681,6,0.40079192511043465,2,681,340612
1,1,709,6,0.3971222143385747,2,709,338326
1,1,680,6,0.39423832520809016,2,680,331956
1,1,670,6,0.4169432301084129,2,670,347176
1,1,688,6,0.405010948097625,2,688,340728
1,1,674,6,0.4103896302060684,2,674,341669
1,1,676,4,0.4119231268071991,2,676,346443
1,1,672,6,0.3969772569484181,2,672,338583
1,1,686,6,0.4029891739717562,2,686,339514
1,1,676,6,0.3974350171278601,2,676,331542
1,1,670,6,0.3925598712168029,2,670,338890
1,1,661,6,0.3989990310742869,2,661,355458
1,1,689,4,0.39709169699327856,2,689,335735
1,1,679,6,0.4185911667544041,2,679,344829
1,1,680,6,0.41346425274465376,2,680,339708
1,1,693,4,0.393055778077865,2,693,336175
1,1,670,6,0.3988464443478062,2,670,344335
1,1,675,6,0.4067122900978844,2,675,336943
1,1,681,4,0.4150587840363767,2,681,341753
1,1,674,6,0.39564212309171226,2,674,333068
1,1,673,4,0.402928139281164,2,673,339477
1,1,680,6,0.4059951324834253,2,680,339824
1,1,690,6,0.4087874695780214,2,690,336276
1,1,691,6,0.4043166784921379,2,691,336183
1,1,687,6,0.3964355740694117,2,687,341668
1,1,674,4,0.4026916298551189,2,674,338876
1,1,690,6,0.4069793168692256,2,690,337018
1,1,667,6,0.4003723116126128,2,667,340693
