med,rem,fgc,work,rec,case,rat,MinC
8,26,26,283595,0,1,0.0831902832772577,1
8,26,26,285885,0,1,0.08462459850617594,1
0,26,26,283604,0,1,0.08293851517856461,1
0,27,27,284860,0,1,0.08397610491863312,1
8,29,29,284139,0,1,0.08245786699015052,1
8,28,28,285643,0,1,0.08464748651514804,1
0,25,25,285222,0,1,0.08496791864075744,1
0,25,25,284834,0,1,0.08333524066741434,1
8,28,28,284581,0,1,0.08446438244337125,1
8,26,26,285364,0,1,0.08442623576175108,1
8,33,33,285959,0,1,0.0848000732416287,1
8,26,26,284631,0,1,0.08262571238927925,1
0,26,26,284275,0,1,0.08417446766305799,1
8,28,28,284816,0,1,0.08504421200399777,1
8,27,27,283830,0,1,0.08396084624598506,1
8,26,26,285005,0,1,0.08370907814729196,1
0,26,26,285276,0,1,0.08397610491863312,1
0,26,26,284975,0,1,0.08393795823701296,1
8,25,25,284987,0,1,0.08483059058692484,1
0,26,26,283687,0,1,0.08315976593196157,1
8,33,33,284153,0,1,0.08301480854180494,1
8,27,27,287173,0,1,0.08533412678431103,1
0,27,27,286857,0,1,0.0849602893044334,1
0,24,24,283627,0,1,0.08361752611140356,1
8,27,27,283993,0,1,0.08364041412037566,1
0,26,26,285230,0,1,0.08431179571689057,1
8,29,29,283887,0,1,0.08366330212934776,1
8,25,25,283338,0,1,0.08283933380635218,1
8,28,28,284207,0,1,0.08315976593196157,1
8,28,28,283936,0,1,0.08216032287351323,1
8,27,27,286335,0,1,0.08480770257795274,1
8,25,25,284402,0,1,0.08324368863152594,1
8,26,26,286524,0,1,0.08557826554668009,1
8,28,28,284796,0,1,0.08370144881096793,1
8,25,25,284513,0,1,0.08393032890068892,1
8,27,27,284400,0,1,0.08367856080199583,1
0,27,27,285675,0,1,0.0848458492595729,1
8,24,24,284688,0,1,0.08503658266767374,1
0,28,28,285616,0,1,0.0833504993400624,1
8,27,27,285889,0,1,0.08422787301732622,1
8,28,28,284806,0,1,0.08374722482891213,1
8,24,24,285646,0,1,0.08512813470356212,1
8,25,25,284790,0,1,0.08472377987838837,1
0,25,25,282775,0,1,0.08300717920548091,1
0,26,26,283462,0,1,0.08306821389607318,1
0,26,26,285612,0,1,0.08441860642542705,1
0,26,26,285287,0,1,0.08457119315190771,1
8,26,26,285510,0,1,0.08490688395016517,1
8,25,25,284432,0,1,0.08412869164511379,1
0,24,24,284983,0,1,0.08364041412037566,1
8,26,26,285405,0,1,0.08335812867638644,1
0,25,25,284272,0,1,0.08338101668535854,1
8,26,26,285679,0,1,0.08653193258718424,1
0,24,24,285152,0,1,0.08387692354642069,1
8,28,28,283653,0,1,0.08338864602168257,1
8,27,27,284968,0,1,0.08458645182455578,1
0,27,27,283615,0,1,0.08179411472995964,1
0,27,27,284008,0,1,0.08329709398579417,1
0,25,25,284820,0,1,0.08462459850617594,1
8,26,26,283692,0,1,0.0817178213667193,1
8,28,28,285517,0,1,0.08390744089171683,1
8,27,27,284414,0,1,0.08463222784249998,1
8,28,28,285910,0,1,0.08488399594119307,1
8,27,27,284620,0,1,0.08293088584224058,1
0,25,25,287046,0,1,0.08528835076636683,1
8,28,28,284699,0,1,0.08368619013831986,1
8,27,27,285645,0,1,0.08401425160025329,1
8,28,28,282952,0,1,0.08279355778840798,1
8,27,27,283127,0,1,0.08252653101706682,1
0,32,32,284264,0,1,0.08325894730417402,1
8,25,25,285648,0,1,0.08457119315190771,1
0,26,26,286916,0,1,0.08522731607577456,1
8,26,26,283583,0,1,0.0832818353131461,1
8,31,31,285717,0,1,0.08537990280225523,1
8,31,31,286722,0,1,0.08537990280225523,1
8,27,27,284432,0,1,0.08357175009345938,1
0,26,26,284182,0,1,0.08300717920548091,1
0,27,27,286013,0,1,0.08557826554668009,1
8,26,26,284522,0,1,0.08440334775277898,1
8,26,26,285074,0,1,0.08533412678431103,1
0,25,25,285241,0,1,0.08538753213857926,1
0,25,25,284997,0,1,0.0836480434566997,1
0,26,26,286034,0,1,0.08433468372586267,1
8,27,27,285507,0,1,0.08393795823701296,1
0,28,28,284036,0,1,0.08352597407551518,1
8,26,26,285472,0,1,0.08393032890068892,1
0,27,27,284656,0,1,0.08402188093657732,1
8,25,25,285670,0,1,0.08470852120574031,1
8,27,27,285213,0,1,0.08425076102629832,1
8,31,31,284791,0,1,0.08466274518779611,1
0,27,27,285969,0,1,0.08529598010269086,1
8,27,27,285770,0,1,0.08408291562716959,1
8,26,26,285217,0,1,0.08442623576175108,1
0,28,28,284501,0,1,0.08452541713396351,1
8,28,28,285170,0,1,0.0848229612506008,1
