med,rem,fgc,work,rec,case,rat,MinC
12,514,514,629614,2,1,0.3975113104911004,1
12,524,524,638455,2,1,0.4186216840997002,1
12,514,514,633399,2,1,0.4140440823052803,1
8,523,523,626830,2,1,0.4081923813447469,1
8,501,501,623003,2,1,0.4135023994262739,1
8,498,498,615782,2,1,0.3878296826959023,1
8,518,518,627125,2,1,0.40484310269849627,1
8,507,507,622924,2,1,0.4034316754785501,1
12,500,500,627520,2,1,0.4063537112906549,1
12,498,498,611755,2,1,0.3966263074775125,1
12,508,508,625278,2,1,0.4049041373890885,1
12,504,504,613993,2,1,0.3933228048492062,1
12,535,535,615528,2,1,0.3839158331616733,1
12,508,508,626143,2,1,0.4000213621417073,1
12,500,500,623211,2,1,0.4014404186979775,1
12,514,514,635936,2,1,0.4126173964126861,1
12,520,520,633134,2,1,0.4097945419727938,1
12,504,504,637900,2,1,0.4159132697046684,1
12,504,504,630280,2,1,0.4125182150404737,1
12,502,502,618126,2,1,0.4065597033714037,1
12,498,498,609867,2,1,0.3859070899422459,1
12,510,510,609632,2,1,0.3842744119689028,1
8,527,527,618702,2,1,0.40739130103072335,1
12,524,524,639111,2,1,0.4113204092376005,1
12,510,510,622399,2,1,0.4006545970566021,1
12,504,504,619666,2,1,0.387074378399823,1
12,501,501,620679,2,1,0.4016387814424024,1
12,537,537,625725,2,1,0.3922012924095733,1
12,494,494,604724,2,1,0.3859681246328382,1
12,517,517,645018,2,1,0.409382557811296,1
12,553,553,627469,2,1,0.4028823632632197,1
8,492,492,608616,2,1,0.3925369832078308,1
12,526,526,623890,2,1,0.4059569858018051,1
12,505,505,648913,2,1,0.4299893952225096,1
12,503,503,621896,2,1,0.40079192511043465,1
12,507,507,608322,2,1,0.3911637026695048,1
12,511,511,616010,2,1,0.39950256727167305,1
12,536,536,621485,2,1,0.3931397007774294,1
8,515,515,617507,2,1,0.3878983467228186,1
12,512,512,622783,2,1,0.40371396092253936,1
12,503,503,621283,2,1,0.3969467396031219,1
8,515,515,622979,2,1,0.39865571093970537,1
12,502,502,631527,2,1,0.4196745325124168,1
8,501,501,639618,2,1,0.4114043319371648,1
12,518,518,629328,2,1,0.40934441112967584,1
12,501,501,644992,2,1,0.4248167051948151,1
12,530,530,619145,2,1,0.3957794511455449,1
12,512,512,613875,2,1,0.39711458500225066,1
8,501,501,630075,2,1,0.4113890732645168,1
12,512,512,620024,2,1,0.4052245695146979,1
12,498,498,620668,2,1,0.4035232275144385,1
12,496,496,632977,2,1,0.3995178259443211,1
12,517,517,617991,2,1,0.402935768617488,1
12,515,515,613009,2,1,0.3945206106520794,1
12,513,513,633901,2,1,0.4155394322247908,1
12,509,509,620340,2,1,0.4072616023132148,1
12,527,527,636600,2,1,0.40959617922836894,1
12,500,500,621223,2,1,0.4118544627802828,1
12,516,516,638761,2,1,0.4097258779458775,1
12,519,519,620757,2,1,0.4063689699633029,1
12,516,516,612909,2,1,0.3932999168402341,1
12,495,495,619316,2,1,0.3954742776925835,1
12,555,555,636177,2,1,0.4120680841973557,1
12,502,502,622839,2,1,0.3986480816033813,1
8,492,492,636993,2,1,0.3973739824372678,1
12,503,503,623032,2,1,0.3942459545444142,1
12,507,507,615264,2,1,0.3936127196295193,1
8,513,513,602341,2,1,0.385701097861497,1
8,517,517,628128,2,1,0.41964401516712063,1
8,515,515,621060,2,1,0.4042327557925736,1
12,497,497,618383,2,1,0.39681704088561337,1
12,496,496,615248,2,1,0.4018218855141791,1
8,515,515,633560,2,1,0.4127394657938706,1
8,511,511,626839,2,1,0.41260213774003796,1
12,503,503,617293,2,1,0.4014251600253294,1
8,503,503,623971,2,1,0.40601039115607335,1
8,528,528,642767,2,1,0.408909538959206,1
12,500,500,628888,2,1,0.4138914955787996,1
12,527,527,624834,2,1,0.4098632059997101,1
12,555,555,606441,2,1,0.38395397984329344,1
12,516,516,639791,2,1,0.42625102042373336,1
8,495,495,626768,2,1,0.41621844315762974,1
12,523,523,623097,2,1,0.39120947868744893,1
8,524,524,634106,2,1,0.4107863556949181,1
12,504,504,616125,2,1,0.3869446796823144,1
12,517,517,628809,2,1,0.40892479763185396,1
12,503,503,627096,2,1,0.4125792497310659,1
8,503,503,612842,2,1,0.3975265691637485,1
12,526,526,635330,2,1,0.4098250593180899,1
12,549,549,638052,2,1,0.4097487659548496,1
12,522,522,648766,2,1,0.4195982391491764,1
8,514,514,619782,2,1,0.39848786554057664,1
12,517,517,638336,2,1,0.41858353741808,1
12,566,566,627848,2,1,0.4069793168692256,1
12,554,554,614430,2,1,0.39156805749467855,1
